Accounting & operations,محاسبة & عمليات
Activity Booking,نشاط Booking
Activity Date,نشاط تاريخ
Activity Name,نشاط اسم
Activity request requires Activity Name and Activity Date.,نشاط طلب requires نشاط اسم و نشاط تاريخ.
ADR,ADR
Adults,Adults
Airline / Vendor,Airline Vendor
Amount,مبلغ
Amount that will be billed to the customer (can include markups).,مبلغ that will be billed إلى the عميل (can include markups).
Applies To,Applies إلى
Arrivals,Arrivals
Arrivals trend,Arrivals اتجاه
Auto Price (apply markup),Auto سعر (apply markup)
Availability,Availability
Available Room Nights,متاح Room Nights
Avg Lead Time (days),متوسط عميل محتمل Time (days)
Avg LOS (nights),متوسط LOS (nights)
Balance Due,رصيد استحقاق
Base Fare,Base Fare
Base Price,Base سعر
Beach / Facility,Beach Facility
Beach Booking,Beach Booking
Beach Facility,Beach Facility
"Beach slot capacity exceeded. Capacity {0}, requested/used {1}.","Beach slot capacity exceeded. Capacity { 0 }, requested used { 1 }."
Billed Amount,Billed مبلغ
Billed Price,Billed سعر
Booking,Booking
Booking channel,Booking channel
Booking channels,Booking channels
Booking does not exist.,Booking does not exist.
Booking Owner,Booking Owner
Booking Reference,Booking Reference
Booking Status,Booking حالة
Booking status mix,Booking حالة mix
Booking status summary,Booking حالة ملخص
Bookings,Bookings
Bookings & travel,Bookings & travel
Branch,الفرع
Branch belongs to a different company.,فرع belongs إلى a different شركة.
Branch does not exist.,فرع does not exist.
Branch {0} does not exist.,فرع { 0 } does not exist.
Cabin,Cabin
Cabin Class,Cabin Class
Cabin Class (optional),Cabin Class (optional)
Cancel %,Cancel%
Cancellation & no-show,Cancellation & no - show
Cancelled,ملغى
Capacity,Capacity
Channel,Channel
Channel performance,Channel أداء
Charge,Charge
Charge amount must be greater than zero.,Charge مبلغ must be greater than zero.
Charge Date,Charge تاريخ
Charge Entry,Charge قيد
Charge entry booking must match the folio booking.,Charge قيد booking must match the folio booking.
Charge entry customer must match the folio customer.,Charge قيد عميل must match the folio عميل.
Charge entry hotel must match the folio hotel.,Charge قيد hotel must match the folio hotel.
Charge entry must belong to the same company and branch as the folio.,Charge قيد must belong إلى the same شركة و فرع as the folio.
Charge entry room unit must match the folio room unit.,Charge قيد room unit must match the folio room unit.
Charge Type,Charge نوع
Check In Date,فحص In تاريخ
Check Out Date,فحص Out تاريخ
Check-out date must be after check-in date.,فحص - out تاريخ must be after فحص - in تاريخ.
Children,Children
City,City
Company,الشركة
Company filter is required.,شركة filter is required.
Confirmed On,Confirmed On
Contact Email,اتصال بريد إلكتروني
Contact Phone,اتصال Phone
Contract Name,عقد اسم
Contract Owner,عقد Owner
Cost Center,مركز التكلفة
Country,Country
Created Activity Booking,Created نشاط Booking
Created Beach Booking,Created Beach Booking
Created Flight Booking,Created Flight Booking
Created Hotel Booking,Created Hotel Booking
Created Restaurant Order,Created مطعم Order
Currency,Currency
Customer,العميل
Customer (optional),عميل (optional)
Customer belongs to a different company.,عميل belongs إلى a different شركة.
Customer is mandatory for confirmed/active bookings.,عميل is mandatory لـ confirmed نشط bookings.
Customer Name,عميل اسم
Customer Profile,ملف العميل
Daily revenue,يومي إيرادات
Date,التاريخ
Date/Time,تاريخ Time
Dates,Dates
Default Rack Rate (per night),افتراضي Rack معدل (per night)
Default Vendor,افتراضي Vendor
Departure,Departure
Departures,Departures
Description,الوصف
Details,التفاصيل
Disabled unit cannot be assigned to a booking.,Disabled unit cannot be assigned إلى a booking.
Drop-off Location,Drop - off Location
Duplicate,Duplicate
Duration (Days),Duration (Days)
Email,البريد الإلكتروني
